addons_dropbox_nodesettings,addons_dropbox_nodesettings__id_d90853ab_like,CREATE INDEX addons_dropbox_nodesettings__id_d90853ab_like ON public.addons_dropbox_nodesettings USING btree (_id varchar_pattern_ops)
addons_dropbox_nodesettings,addons_dropbox_nodesettings__id_key,CREATE UNIQUE INDEX addons_dropbox_nodesettings__id_key ON public.addons_dropbox_nodesettings USING btree (_id)
addons_dropbox_nodesettings,addons_dropbox_nodesettings_external_account_id_aa7c6df5,CREATE INDEX addons_dropbox_nodesettings_external_account_id_aa7c6df5 ON public.addons_dropbox_nodesettings USING btree (external_account_id)
addons_dropbox_nodesettings,addons_dropbox_nodesettings_owner_id_key,CREATE UNIQUE INDEX addons_dropbox_nodesettings_owner_id_key ON public.addons_dropbox_nodesettings USING btree (owner_id)
addons_dropbox_nodesettings,addons_dropbox_nodesettings_pkey,CREATE UNIQUE INDEX addons_dropbox_nodesettings_pkey ON public.addons_dropbox_nodesettings USING btree (id)
addons_dropbox_nodesettings,addons_dropbox_nodesettings_user_settings_id_e882be49,CREATE INDEX addons_dropbox_nodesettings_user_settings_id_e882be49 ON public.addons_dropbox_nodesettings USING btree (user_settings_id)
addons_dropbox_usersettings,addons_dropbox_usersettings__id_5af35472_like,CREATE INDEX addons_dropbox_usersettings__id_5af35472_like ON public.addons_dropbox_usersettings USING btree (_id varchar_pattern_ops)
addons_dropbox_usersettings,addons_dropbox_usersettings__id_key,CREATE UNIQUE INDEX addons_dropbox_usersettings__id_key ON public.addons_dropbox_usersettings USING btree (_id)
addons_dropbox_usersettings,addons_dropbox_usersettings_owner_id_key,CREATE UNIQUE INDEX addons_dropbox_usersettings_owner_id_key ON public.addons_dropbox_usersettings USING btree (owner_id)
addons_dropbox_usersettings,addons_dropbox_usersettings_pkey,CREATE UNIQUE INDEX addons_dropbox_usersettings_pkey ON public.addons_dropbox_usersettings USING btree (id)
addons_figshare_nodesettings,addons_figshare_nodesettings__id_9168c88a_like,CREATE INDEX addons_figshare_nodesettings__id_9168c88a_like ON public.addons_figshare_nodesettings USING btree (_id varchar_pattern_ops)
addons_figshare_nodesettings,addons_figshare_nodesettings__id_key,CREATE UNIQUE INDEX addons_figshare_nodesettings__id_key ON public.addons_figshare_nodesettings USING btree (_id)
